file_name,predicted_risk,true_risk
temp.csv,1,1
dublin_Customer_Data.csv,1,1
passwords.txt,1,0
dublin_Customer_Data.csv,1,1
mock_s3_buckets.csv,1,1
mock_s3_buckets.csv,1,1
temp.csv,1,1
dublin_Customer_Data.csv,1,1
passwords.txt,1,0
dublin_Customer_Data.csv,1,1
mock_s3_buckets.csv,1,1
mock_s3_buckets.csv,1,1
temp.csv,1,1
dublin_Customer_Data.csv,1,1
passwords.txt,1,0
dublin_Customer_Data.csv,1,1
mock_s3_buckets.csv,1,1
mock_s3_buckets.csv,1,1
temp.csv,1,1
dublin_Customer_Data.csv,1,1
passwords.txt,1,0
dublin_Customer_Data.csv,1,1
mock_s3_buckets.csv,1,1
mock_s3_buckets.csv,1,1
